classif_origem,melhor_dst_item,score
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reparo bomba d'agu,reparo da bomba d'agua*,90
 reservatorio beb,reservatorio de agu,80
 bomba de vacu,bomba d agu,83
 bomba de vacu,bomba d agu,83
 canhao de agu,caixa de agu,80
 filtro separador ,1 filtro separador d'agu,80
 caixa descarg,caixa de agu,80
 boia caixa d'agu,boia caixa d? agua 12,86
 caixa descarg,caixa de agu,80
 caixa descarg,caixa de agu,80
 boia caixa d'agu,boia caixa d? agua 12,86
 caixa descarg,caixa de agu,80
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 caixa descarg,caixa de agu,80
 caixa descarg,caixa de agu,80
 boia caixa d'agu,boia caixa d? agua 12,86
 caixa descarg,caixa de agu,80
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 caixa descarg,caixa de agu,80
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 boia caixa d'agu,boia caixa d? agua 12,86
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 destilador agu,destilador de agu,90
 destilador agu,destilador de agu,90
 destilador agu,destilador de agu,90
 destilador agu,destilador de agu,90
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 aparelho purificador de agu,purificador de agu,80
 destilador agu,destilador de agu,90
 aparelho purificador de agu,purificador de agu,80
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 tampa para caixa d'agu,boia para caixa d'agua ?,82
 tampa para caixa d'agu,boia para caixa d'agua ?,82
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d ' agu,caixa d agu,92
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 tampa para caixa d'agu,boia para caixa d'agua ?,82
 caixa d'agu,caixa d agu,100
 tampa para caixa d'agu,boia para caixa d'agua ?,82
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 tampa para caixa d'agu,boia para caixa d'agua ?,82
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa d'agu,caixa d agu,100
 caixa de bat,caixa de agu,83
 reservatorio dren,reservatorio de agu,83
 agua destil,3225 agua destil,81
 agua desion,agua deion,95
 reservatorio dren,reservatorio de agu,83
 agua destil,3225 agua destil,81
 reservatorio de succa,reservatorio de agu,85
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 reservatorio dren,reservatorio de agu,83
 agua destil,3225 agua destil,81
 reservatorio de succa,reservatorio de agu,85
 reservatorio de succa,reservatorio de agu,85
 reservatorio de succa,reservatorio de agu,85
 reservatorio de succa,reservatorio de agu,85
 reservatorio de succa,reservatorio de agu,85
 agua destil,3225 agua destil,81
 reservatorio de succa,reservatorio de agu,85
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 reservatorio dren,reservatorio de agu,83
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 agua desion,agua deion,95
 agua destil,3225 agua destil,81
 reservatorio dren,reservatorio de agu,83
 agua destil,3225 agua destil,81
 agua destil,3225 agua destil,81
 agua desminer,agua bi desmin,81
 agua desminer,agua bi desmin,81
 agua desminer,agua bi desmin,81
 agua desminer,agua bi desmin,81
 agua desminer,agua bi desmin,81
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua sanit,agua sanit,100
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
 agua mineral nat,agua mineral c20lt,82
