ID,dsc_item,melhor_classif,match_score
1,agua sanit, agua sanit,95
2,biscoito agua e s, botao para estof,59
3,agua mineral c20lt, agua mineral nat,80
4,sabao em po  cor azul composto por tensoativo anionico alcalinizante sequestrante branqueador optico enzimas perfume e agua com tensoativo biodegradavel acondicionado em caixa ou saco plastico resistente contendo 1 kg 15256, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,40
5,agua destilada 10ml, agua adicionada com s,59
6,agua destilada galao de 5 litr, esteira rolante nao eletr,54
7,agua destilada para autoclav, cadeira para automo,62
8,agua mineral 20l, agua mineral nat,79
9,agua mineral 510 ml, agua mineral nat,72
10,boia p caixa d'agua 34, caixa guarda anim,55
11,destilador de agu, aspirador de po e agu,67
12,purificador de agu, areia  filtracao de agu,67
13,radiador de agua de arrefec, amaciador em po de carn,59
14,00000614agua mineral natural sem gas embalagem de 200 ml, pintura a base de col,46
15,00018133joelho pvc 20mm p agua 90deg 1 l, pvc  pelicula  film,40
16,127843372212  limpeza  de caixa d agua  limpeza de caixa d?agua 2000 litros realizar a limpeza desinfeccao com a solucao de hipoclorito de sodio naclo a 25% conforme norma dos orgaos compet, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,42
17,bombinha jogar agua no parabris, bobina para fio eletr,53
18,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000420024 bebedouro de agua eletrico que comporta galao d, plaqueta de material metalico em branco para gravaca,25
19,00000291  agua mineral copo 200 ml, agua mineral nat,55
20,00003904 luva pvc soldavel 25 mm para agua fria pred, balao inflavel a ar quente para propaganda aere,48
21,000147 agua sanitaria 2l, agua sanit,63
22,000926 agua oxigenada 10 volum, agua adicionada com s,54
23,003556 agua destilada 10ml, agua adicionada com s,54
24,005224 cap pvc sold p agua fria predial 25 mm, papel picado para embal,46
25,005824 curva 50 mm ll p agu, erva  mat,43
26,007psfbebedouro de agua coluna galao de 20l aco inoxidavel 127v  ac  , servicos de leasing ou aluguel relacionados a outros b,45
27,009068 adaptador para caixa d agua 20mm, polidor para pintura automo,51
28,009742 cap pvc crosca p agua fria predial 1, papel picado para embal,48
29,009945 lixa dagua 150, lixa unh,47
30,010620 resina bagua telha cor 18 lt, agulha cost,47
31,011222 caixa d agua de fibra polietileno 1000lt, bobina de polietilen,50
32,012443 agua sanitaria 2 litr, agua sanit,56
33,013275 lixa d agua med, liga de arame de cobr,55
34,016154 agua destilada 5ml, agua adicionada com s,55
