ID;dsc_item;melhor_classif;match_score;Quant. Carct. DSC;Quant. Carct. Classif;Diferença
1;agua sanit; agua sanit;95;10;11;-1
111;agua deion; agua desion;91;10;12;-2
11;destilador de agu; destilador agu;88;17;15;2
347;caixa d agu; caixa d ' agu;88;11;14;-3
97;agua bi desminer; agua desminer;87;16;14;2
40;1 filtro separador d'agu; filtro separador ;86;24;18;6
57;3225 agua destil; agua destil;86;16;12;4
801;reparo da bomba d'agua*; reparo bomba d'agu;86;23;19;4
393;caixa de agu; caixa d ' agu;85;12;14;-2
812;reservatorio de agu; reservatorio de succa;83;19;22;-3
10;boia p caixa d'agua 34; boia caixa d'agu;82;22;17;5
659;lixa d'agu; caixa d'agu;82;10;12;-2
3;agua mineral c20lt; agua mineral nat;80;18;17;1
309;bomba d agu; bomba de vacu;80;11;14;-3
646;lixa d' agu; caixa d ' agu;80;11;14;-3
8;agua mineral 20l; agua mineral nat;79;16;17;-1
149;agua mineral cop; agua mineral nat;79;16;17;-1
287;boia caixa d? agua 12; boia caixa d'agu;79;21;17;4
12;purificador de agu; aparelho purificador de agu;78;18;28;-10
293;boia para caixa d'agua ?; boia caixa d'agu;78;24;17;7
232;anel da bomba d'agu; alicate bomba d'agu;77;19;20;-1
328;bomba d? agu; bomba de vacu;77;12;14;-2
541;filtro separador agua  pac; filtro separador ;77;26;18;8
143;agua mineral 20 litr; agua mineral nat;76;20;17;3
189;agua para autoclav; guarnicao autoclav;76;18;19;-1
326;bomba d'agu; rotor bomba d'agu;76;11;18;-7
644;lixa d agu; caixa d ' agu;75;10;14;-4
832;sensor agu; sensor automo;75;10;14;-4
905;termostato agu; termostat;75;14;10;4
138;agua mineral  20 litr; agua mineral nat;74;21;17;4
330;bomba d?agua mo; bomba d ' agua para mo;74;15;23;-8
810;reservatorio d agua radi; reservatorio de succa;74;24;22;2
124;agua destilada 5ml; agua destil;73;18;12;6
289;boia de 12 para caixa d'agu; boia caixa d'agu;73;27;17;10
372;caixa d'agua 310 litr; caixa d'agua de amiant;73;21;23;-2
375;caixa d'agua 500lt; caixa d'agu;73;18;12;6
878;tampa reservatorio d'agua 1; tampa reservatorio combusti;73;27;28;-1
9;agua mineral 510 ml; agua mineral nat;72;19;17;2
321;bomba d'agua  16; bomba d ' agua para mo;72;16;23;-7
327;bomba dagua pali; bomba d ' agua para mo;72;16;23;-7
800;reparo bomba d'agual10  lote 07; reparo bomba d'agu;72;31;19;12
5;agua destilada 10ml; agua destil;71;19;12;7
115;agua destilada  5ml; agua destil;71;19;12;7
122;agua destilada 5 lt; agua destil;71;19;12;7
288;boia cx d agua 34; boia caixa d'agu;71;17;17;0
333;bomba de agua dobl; bomba de alcool;71;18;16;2
370;caixa d'agua 250 lt; caixa d'agu;71;19;12;7
371;caixa d'agua 3000 l; caixa d'agu;71;19;12;7
