dsc_item,n
AGUA SANITARIA,7
BISCOITO AGUA E SAL,4
AGUA MINERAL C/20LT.,3
SABAO EM PO  COR AZUL COMPOSTO POR TENSOATIVO ANIONICO ALCALINIZANTE SEQUESTRANTE BRANQUEADOR OPTICO ENZIMAS PERFUME E AGUA COM TENSOATIVO BIODEGRADAVEL ACONDICIONADO EM CAIXA OU SACO PLASTICO RESISTENTE CONTENDO 1 KG -15256,3
AGUA DESTILADA 10ML,2
AGUA DESTILADA GALAO DE 5 LITROS,2
AGUA DESTILADA PARA AUTOCLAVE,2
AGUA MINERAL 20L,2
AGUA MINERAL 510 ML,2
BOIA P/ CAIXA D'AGUA 3/4,2
DESTILADOR DE AGUA,2
PURIFICADOR DE AGUA,2
RADIADOR DE AGUA DE ARREFECIMENTO,2
(00000614)AGUA MINERAL NATURAL SEM GAS EMBALAGEM DE 200 ML,1
(00018133)JOELHO PVC 20MM P/ AGUA 90° 1 LINHA,1
"(127843372212) - LIMPEZA  DE CAIXA D AGUA - LIMPEZA DE CAIXA D?AGUA 2.000 LITROS, REALIZAR A LIMPEZA, DESINFECCAO COM A SOLUCAO DE HIPOCLORITO DE SODIO (NACLO) A 2,5%, CONFORME NORMA DOS ORGAOS COMPETENTES.",1
",.BOMBINHA JOGAR AGUA NO PARA-BRISA",1
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000420024 BEBEDOURO DE AGUA ELETRICO QUE COMPORTA GALAO DE,1
00000291 - AGUA MINERAL (COPO) 200 ML,1
"00003904 LUVA PVC SOLDAVEL, 25 MM, PARA AGUA FRIA PREDIAL",1
000147 AGUA SANITARIA 2L,1
000926 AGUA OXIGENADA 10 VOLUMES,1
003556 AGUA DESTILADA 10ML,1
005224 CAP PVC SOLD P/ AGUA FRIA PREDIAL 25 MM,1
005824 CURVA 50 MM L/L P/ AGUA,1
007PSF-BEBEDOURO DE AGUA COLUNA GALAO DE 20L ACO INOXIDAVEL 127V - AC  -,1
009068 ADAPTADOR PARA CAIXA D AGUA 20MM,1
009742 CAP PVC C/ROSCA P/ AGUA FRIA PREDIAL 1,1
"009945 LIXA D,AGUA 150",1
010620 RESINA B.AGUA TELHA COR 18 LT,1
011222 CAIXA D AGUA DE FIBRA POLIETILENO 1000LT,1
012443 AGUA SANITARIA 2 LITROS,1
013275 LIXA D AGUA MEDIA,1
016154 AGUA DESTILADA 5ML,1
"021400007000005   SERVICOS DE BUFFET,DESCRICAO: CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS ALIMENTACAO, TIPO: CALDOS SEM BEBIDA ALCOOLICA, CARDAPIO: AGUA MINERAL, 03 TIPOS DE SUCOS NATURAIS (ACIDO, SEMI ACIDO E NAO ACIDO), REFRIG",1
"021900001700112 - JOELHO 90 GRAUS COM BUCHA DE LATAO, PVC, SOLDAVEL, DN 25MM, X 1/2 INSTALADO EM RAMAL OU SUB-RAMAL DE AGUA - FORNECIMENTO E INSTALACAO.",1
028475 FILTRO D AGUA WF C2 PSA331,1
038827 AGUA SANITARIA 5 LT,1
"070401 - CALHA DE CHAPA GALVANIZADA, Nº 24 DESENVOLVIMENTO 33 CM                    CONDUTOR DE AGUA PLUVIAL E BUZINOTES SERA MEDIDO POR COMPRIMENTO INSTALADO (M). O ITEM REMUNERA O FORNECIMENTO DE MATERIAIS E MAO DE OBRA PARA INSTALACAO DE TUBO NA COR BRANCA (CONDUTORES) VERTICAIS E EXECUTADAS COM PVC REFORCADO COM  AS JUNTAS COM BOLSA E ANEL DE BORRACHA, INCLUSIVE MATERIAIS ACESSORIOS PARA EMENDAS, SUPORTES, JUNCAO EM OUTRAS PECAS, VEDACAO E FIXACAO.",1
1 FILTRO SEPARADOR D'AGUA,1
"1.2.6.5 TE SOLDAVEL, PVC, 90 GRAUS,50 MM, PARA AGUA FRIA PREDIAL (NBR 5648)",1
"101049 - PLUG (CONEXAO) - MATERIA-PRIMA: FERRO GALVANIZADO, TIPO: ROSCAVEL (EXTERNO), MEDIDAS: 1 1/2 POLEGADAS, APLICACAO: ISOLAMENTO E PROTECAO EM REDE DE AGUA",1
105026 - LIXA ABRASIVA - TIPO: D? AGUA - Nº 120,1
"108374 - LUVA - MATERIA-PRIMA: PVC, MEDIDAS: 20MM, TIPO-1: SIMPLES, TIPO-2: SOLDAVEL, APLICACAO: AGUA",1
"108547 - TAMPAO - MATERIA-PRIMA: PVC, TIPO: SOLDAVEL, DIAMETRO NOMINAL: 20MM, REDE: AGUA",1
"10944 - TE (CONEXAO) - MATERIA-PRIMA: PVC, MEDIDAS: 32MM, TIPO: SOLDAVEL, FINALIDADE: AGUA",1
"11342 - BUCHA DE REDUCAO - MATERIA-PRIMA: PVC, DIAMETRO NOMINAL: 11/2 X 3/4 POLEGADAS, TIPO: ROSCAVEL, APLICACAO: PARA REDE DE AGUA",1
"115086 - PORTAL DE MADEIRA MACICA, CONFORME ABNT NBR 15930:2011, PARA PINTURA COM TINTA A BASE D'AGUA, PARA PORTA DE 1,00X2,10M",1
128375 - DESINFECCAO E LIMPEZA DE 08 CAIXAS D'AGUA DE 1000 LITROS LOCAL EM MARIA APARECIDA BRANDAO VIEIRA ENDERECO AVENIDA SANTA RITA 90 SANTA RITA,1
128411 - DESINFECCAO E LIMPEZA DE 1 CAIXA D AGUA DE 500 LITROS LOCAL PSF DA COMUNIDADE DE GONCALVES ENDERECO COMUNIDADE DE CONCALVES,1
"144 CONEXAO HIDRAULICA, MATERIAL PVC - CLORETO DE POLIVINILA, TIPO LUVA, TIPO FIXACAO SOLDAVEL E ROSCAVEL, BITOLA LADO ROSCAVEL 1, BITOLA LADO SOLDAVE - CONEXAO HIDRAULICA, MATERIAL PVC - CLORETO DE POLIVINILA, TIPO LUVA, TIPO FIXACAO SOLDAVEL E ROSCAVEL, BITOLA LADO ROSCAVEL 1, BITOLA LADO SOLDAVEL 32, APLICACAO INSTALACOES PREDIAIS AGUA FRIA",1
14642 BOLACHA AGUA E SAL,1
"150203 - FORNECIMENTO E INSTALACAO DE RODAPES CERAMICA H = 10CM SERA MEDIDO POR COMPRIMENTO DE RODAPE COLOCADO (M). O ITEM REMUNERA O FORNECIMENTO DE RODAPE EM PLACA CERAMICA ESMALTADA DE PRIMEIRA QUALIDADE ( CLASSE A, OU CLASSE EXTRA ), CONFORME ANEXO A DA NBR 13818, INDICADO PARA PISOS INTERNOS SUJEITOS A LAVAGEM FREQUENTE, COM AS CARACTERISTICAS: A) DIMENSOES: 10 X 30 CM, B) MEDIA ABSORCAO DE AGUA: 3%< ABS < 6%, GRUPO BIIA ( SEMIGRES ) , C) RESISTENCIA QUIMICA: CLASSE A ( ALTA RESISTENCIA QUIMICA A PRODUTOS DOMESTICOS E DE PISCINAS ), D) RESISTENCIA AO MANCHAMENTO: CLASSE DE LIMPABILIDADE 5, E) CARGA DE RUPTURA > 1.000 N, F) RESISTENCIA A ABRASAO SUPERFICIAL CLASSE V (PEI-5), G) RESISTENCIA AO RISCO (ESCALA MOHS): > 5, H) RESISTENTE A GRETAGEM, I) RESISTENTE AO CHOQUE TERMICO, J) COEFICIENTE DE ATRITO: > 0,40 ( CLASSE 2 ), REMUNERA TAMBEM O FORNECIMENTO DE ARGAMASSA COLANTE INDUSTRIALIZADA TIPO AC-I, E A MAO-DE-OBRA NECESSARIA PARA A  EXECUCAO DOS SERVICOS:",1
"17 CONEXAO HIDRAULICA,  APLICACAO CAIXA D AGUA, BITOLAI    - CONEXAO HIDRAULICA, MATERIAL PVC - CLORETO DE POLIVINILA, TIPO ADAPTADOR COM FLANGES E ANEL VEDACAO, TIPO FIXACAO ROSCAVEL, APLICACAO CAIXA D AGUA, BITOLAI",1
184 - CURVA PVC 90G C/ROSCA P/AGUA FRIA PREDIAL,1
"280.JOELHO 90 GRAUS, PVC, SOLDAVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE AGUA JOELHO 90 GRAUS, PVC, SOLDAVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE AGUA - FORNECIMENTO E INSTALACAO. AF_12/2014",1
3225 AGUA DESTILADA,1
"39862 - LUVA - MATERIA-PRIMA: LATAO, MEDIDAS: 1/2 POLEGADA, TIPO-1: SIMPLES, TIPO-2: ROSCAVEL, APLICACAO: AGUA",1
"4*-1 ESTACAO DE TRATAMENTO DE AGUA, COM CAPACIDADE DE 08 L/S, CONTENDO UNIDADE DE PRE TRATAMENTO, UNIDADE DE MICRO-FILTRACAO E SISTEMA DE DESINFECCAO POR MISTURADOR ESTATICO",1
"6.1.1 FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RIGIDO SOLDAVEL, AGUA FRIA, DN 20 MM (1/2), INCLUSIVE CONEXOES",1
6Q0/ 122051/AM / MANGUEIRA INF RADIADOR (MANGUEIRA D AGUA),1
7.24 DUCHA HIGIENICA COM REGISTRO PARA CONTROLE DO FLUXO DE AGUA 1/2,1
71100619 BOMBA DA AGUA,1
"72 CONEXAO HIDRAULICA, MATERIAL PVC, TIPO TE, SOLDAVEL, BITOLA LADO SOLDAVEL 20 - CONEXAO HIDRAULICA, MATERIAL PVC - CLORETO DE POLIVINILA, TIPO TE, TIPO FIXACAO SOLDAVEL, BITOLA LADO SOLDAVEL 20, APLICACAO INSTALACOES PREDIAIS AGUA FRIA, NORMAS TECN",1
"7975 - TUBOS NAO METALICOS, RIGIDOS - MATERIA-PRIMA: PVC, TIPO: COLAVEL, DIAMETRO: 1/2 POLEGADA, APLICACAO: REDE AGUA, COMPRIMENTO: 06 METROS MEDIDAS EM METRO CORRIDO",1
8 - AGUA SANITARIA 1 LITRO,1
"8.3 (COMPOSICAO REPRESENTATIVA) DO SERVICO DE INSTALACAO DE TUBOS DE PVC, SOLDAVEL, AGUA FRIA, DN 25 MM (INSTALADO EM RAMAL, SUB-RAMAL, RAMAL DE DISTRIBUICAO OU PRUMADA), INCLUSIVE CONEXOES, CORTES E FIXACOES, PARA PREDIOS. AF_10/2015",1
"8186 - TE (CONEXAO) - MATERIA-PRIMA: PVC, MEDIDAS: 50 X 3/4, TIPO: SOLDAVEL, DE REDUCAO, FINALIDADE: AGUA",1
"89366- SINAPI- JOELHO 90 GRAUS COM BUCHA DE LATAO, PVC, SOLDAVEL, DN 25MM, X 3/4? INSTALADO EM RAMAL OU SUB-RAMAL DE AGUA - FORNECIMENTO E INSTALACAO. AF_12/2014",1
"89522 - JOELHO 90 GRAUS - JOELHO 90 GRAUS, PVC, SERIE R, AGUA PLUVIAL, DN 75 MM, JUNTA ELASTICA, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_12/2014",1
ABASTECIMENTO DE AGUA - REBOBINAMENTO MOTOR MONOFASICO DE 5 CV IP 55 220/440V 2 POLOS WEG - UNIDADE,1
